,0
0,0.9238744389671169
1,1.0
2,0.9684041906589709
3,0.9315892093926851
4,0.902281894099613
5,0.9425053907771672
6,0.9028796688454752
7,0.9186233339685512
8,0.8773903252799529
9,0.9116749998660174
10,0.9065482832445431
11,0.9042323496291144
12,0.9091191462529217
13,0.9046733589166016
14,0.9052060360615739
15,0.8719754439053998
16,0.8375322591985663
17,0.7359844619938442
18,0.5149283443258953
19,0.852282341357164
20,0.8363887014320264
21,0.9073825713588108
22,0.8717510980555575
23,0.8671921221864659
24,0.855290905946493
25,0.9334975379328555
26,0.8391498542854869
27,0.762176690981808
28,0.7216679061482498
29,0.7173818119698768
30,0.710783267353936
31,0.6628888061640473
